book_page,year,site,nestID,uniqueID,plot,species,finder,nwstake,old_lat,lat_corrected,old_long,long_corrected,notes_GPS_change,use_GPS,how_fnd,plotLmt,fence,unk1_band,unk1_original_band,unk1_captured,unk1_UL,unk1_LL,unk1_UR,unk1_LR,unk1_gfe,unk2_band,unk2_original_band,unk2_captured,unk2_UL,unk2_LL,unk2_UR,unk2_LR,unk2_gfe,m_band,m_original_band,m_captured,m_UL,m_LL,m_UR,m_LR,m_gfe,f_band,f_original_band,f_captured,f_UL,f_LL,f_UR,f_LR,f_gfe,number_banded_birds,max_egg_number,number_egg_find,float_age,float_date,date_found,date_found_julian,age_found,last_day_alive,last_day_checked,last_day_alive_julian,last_day_check_julian,initiation_date,initiation_date_corrected,initiation_date_corrected_julian,incubation_date,incubation_date_corrected,est_hatch_date,hatch_date,Number_days_btwn_last_check_and_date_found_hatched,day_used_for_hatch_date_or_last_date_checked,age_method,age_method_corrected,stage_find,fate,fail_cause,fate_evidence,uncertain_of_fate,number_days_from_est_hatch,number_eggs_hatched,number_chick_band,number_eggs_observer,number_eggs_lost,number_eggs_predated,number_eggs_abandoned,number_eggs_failed_to_hatch,number_eggs_unknown,number_eggs_with_embryo,number_eggs_stable_isotope,number_eggs_bacteria,replacement_clutch,manipulation,manipulation_comments,tiny_tag_number,dom_land,dom_veg,conceal,aspect,old_nest_number,nest_reuse_corrected,use_nest_reuse_id,tag_number,nest_book_comments,problem
8.09,2008,barr,amgp307,08amgp307,brw6,amgp,ganx,b11,NA,71.24396,NA,-156.54084,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157374989,157374989,y,"o,dg",-,"gf,y",m,NA,1,4,2,NA,NA,14-Jun-08,166,1,27-Jun-08,2-Jul-08,179,184,13-Jun-08,13-Jun-08,165,16-Jun-08,16-Jun-08,12-Jul-08,NA,NA,NA,lay,lay,lay,failed,predation,eggs gone prior to 4 days from estimated hatch date,n,NA,0,0,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,hcp<0.5,u2,NA,NA,NA,NA,NA,NA,used float program for age estimate b/c it was more conservative,"used lay for determining initiation date, but 4th egg laid several days after 3rd egg"
8.11,2008,barr,reph111,08reph111,brw6,reph,phsu,a1 ,NA,71.24452,NA,-156.55391,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230144177,230144177,y,-,"dg,o,lb",m,"gf,y",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,3,16-Jun-08,16-Jun-08,168,4,5-Jul-08,5-Jul-08,187,187,10-Jun-08,12-Jun-08,164,13-Jun-08,15-Jun-08,3-Jul-08,5-Jul-08,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,4,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,lcp<0.5,m2,NA,NA,NA,NA,NA,NA,NA,NA
8.13,2008,barr,reph113,08reph113,brw6,reph,phsu,b7,NA,71.24376,NA,-156.5457,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230143495,230143495,y,-,"o,dg,o",m,"gf,y",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,16-Jun-08,16-Jun-08,168,5,4-Jul-08,4-Jul-08,186,186,9-Jun-08,11-Jun-08,163,12-Jun-08,14-Jun-08,2-Jul-08,4-Jul-08,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,3,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,lcp>0.5,m5,NA,NA,NA,NA,NA,NA,one egg cracked by finder,NA
8.15,2008,barr,lbdo315,08lbdo315,brw6,lbdo,ganx,c12,NA,71.24324,NA,-156.53935,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,NA,NA,18-Jun-08,170,1,6-Jul-08,8-Jul-08,188,190,17-Jun-08,17-Jun-08,169,19-Jun-08,19-Jun-08,10-Jul-08,NA,NA,day reoriented egg,lay,lay,lay,failed,abandonment,reoriented eggs,n,NA,0,0,0,1,0,2,0,0,0,0,0,0,NA,NA,NA,hummocky,b14,NA,NA,NA,NA,NA,NA,NA,NA
8.16,2008,barr,amgp316,08amgp316,brw6,amgp,ganx,b6,NA,71.24398,NA,-156.54723,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157374966,157374966,y,"gf,y",m,"o,r",-,NA,157374967,157374967,y,"gf,y",m,"o,lb",-,NA,2,4,3,NA,NA,18-Jun-08,170,2,14-Jul-08,14-Jul-08,196,196,16-Jun-08,16-Jun-08,168,19-Jun-08,19-Jun-08,15-Jul-08,14-Jul-08,7,day found,lay,lay,lay,hatch,NA,chicks,n,NA,4,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,hcp>0.5,b1,NA,NA,NA,NA,NA,NA,NA,NA
8.17,2008,barr,reph317,08reph317,brw6,reph,ganx,c7,NA,71.24355,NA,-156.54582,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,3,NA,NA,18-Jun-08,170,2,27-Jun-08,3-Jul-08,179,185,16-Jun-08,16-Jun-08,168,19-Jun-08,19-Jun-08,9-Jul-08,NA,NA,NA,lay,lay,lay,failed,predation,eggs gone prior to 4 days from estimated hatch date,n,NA,0,0,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,lcp<0.5,m2,NA,NA,NA,NA,NA,NA,NA,NA
8.18,2008,barr,sesa318,08sesa318,brw6,sesa,ganx,f11,NA,71.24207,NA,-156.5411,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225189613,225189613,y,-,"gf,y",m,"o,lb,r",NA,225189362,225189362,y,-,"r,y,o",m,"gf,y",NA,2,3,3,2,19-Jun-08,18-Jun-08,170,4,6-Jul-08,6-Jul-08,188,188,15-Jun-08,14-Jun-08,166,17-Jun-08,16-Jun-08,7-Jul-08,6-Jul-08,1,day found,float,hatch,inc,hatch,NA,"egg bits, pipped day prior",n,NA,2,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,hcp<0.5,u3,NA,NA,NA,NA,NA,NA,NA,NA
8.19,2008,barr,reph319,08reph319,brw6,reph,ganx,f11,71.24137,71.24185,-156.54094,-156.54113,"GPS wrong, changed coords",n,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230143486,230143486,y,-,"o,dg,lb",m,"gf,y",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,18-Jun-08,18-Jun-08,170,6,5-Jul-08,5-Jul-08,187,187,11-Jun-08,12-Jun-08,164,14-Jun-08,15-Jun-08,4-Jul-08,5-Jul-08,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,3,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,hcp<0.5,u2,NA,NA,NA,NA,NA,NA,NA,NA
8.2,2008,barr,reph057,08reph057,brw6,reph,jcoffey,b10,NA,71.24404,NA,-156.54257,NA,y,bander,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,2,19-Jun-08,19-Jun-08,171,6,6-Jul-08,6-Jul-08,188,188,14-Jun-08,13-Jun-08,165,17-Jun-08,16-Jun-08,7-Jul-08,6-Jul-08,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,lcp<0.5,u1,NA,NA,NA,NA,NA,NA,NA,NA
8.21,2008,barr,pesa121,08pesa121,brw6,pesa,phsu,h11,NA,71.24103,NA,-156.54079,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,3,NA,NA,19-Jun-08,171,2,3-Jul-08,7-Jul-08,185,189,17-Jun-08,17-Jun-08,169,20-Jun-08,20-Jun-08,12-Jul-08,NA,NA,NA,lay,lay,lay,failed,predation,eggs gone prior to 4 days from estimated hatch date,n,NA,0,0,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,hcp>0.5,u1,NA,NA,NA,NA,NA,NA,NA,NA
8.22,2008,barr,reph122,08reph122,brw6,reph,phsu,g12,NA,71.24139,NA,-156.53992,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,3,19-Jun-08,19-Jun-08,171,6,27-Jun-08,NA,179,NA,13-Jun-08,13-Jun-08,165,16-Jun-08,16-Jun-08,6-Jul-08,NA,NA,censor,float,float,inc,censor,unknown,eggs gone,y,3,0,0,0,0,0,0,0,4,0,0,0,0,NA,NA,NA,lcp<0.5,u1,NA,NA,NA,NA,NA,NA,NA,Within 4 days of estimated hatch. No evidence of failure
8.24,2008,barr,reph232,08reph232,brw6,reph,dpavlik,i12,NA,71.24056,NA,-156.53938,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,3,NA,NA,20-Jun-08,172,2,27-Jun-08,3-Jul-08,179,185,18-Jun-08,18-Jun-08,170,21-Jun-08,21-Jun-08,11-Jul-08,NA,NA,NA,lay,lay,lay,failed,predation,"blood, egg shell fragments, eggs gone prior to 4 days from estimated hatch date",n,NA,0,0,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,lcp<0.5,u7,NA,NA,NA,NA,NA,NA,NA,NA
8.25,2008,barr,pesa290,08pesa290,brw6,pesa,dpavlik,g10,NA,71.24162,NA,-156.5416,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230143500,230143500,y,-,"y,o,y",m,"gf,y",NA,1,4,4,7,20-Jun-08,20-Jun-08,172,8,7-Jul-08,7-Jul-08,189,189,10-Jun-08,12-Jun-08,164,13-Jun-08,15-Jun-08,5-Jul-08,7-Jul-08,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,4,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,hcp<0.5,u3,NA,NA,NA,NA,NA,NA,nest id changed from pesa233 to pesa290,NA
8.26,2008,barr,pesa908,08pesa908,brw6,pesa,abrissette,a5,NA,71.24434,NA,-156.54936,NA,y,bander,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230194175,230194175,y,-,"y,lb,o",m,"gf,y",NA,1,3,3,4,22-Jun-08,22-Jun-08,174,4,12-Jul-08,12-Jul-08,194,194,16-Jun-08,18-Jun-08,170,18-Jun-08,20-Jun-08,10-Jul-08,12-Jul-08,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,3,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,lcp<0.5,u2,NA,NA,NA,NA,NA,NA,NA,NA
8.28,2008,barr,basa909,08basa909,brw6,basa,abrissette,d4,NA,71.24303,NA,-156.55079,NA,y,bander,in,in,225189375,225189375,y,-,"gf,y",m,"db,lb",NA,225189380,225189380,y,-,"gf,y",m,"db,y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,NA,NA,24-Jun-08,176,0,17-Jul-08,17-Jul-08,199,199,24-Jun-08,24-Jun-08,176,27-Jun-08,27-Jun-08,18-Jul-08,17-Jul-08,1,day found,lay,lay,lay,hatch,NA,chicks,n,NA,3,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,hcp>0.5,u2,NA,NA,NA,NA,NA,NA,NA,NA
8.29,2008,barr,dunl907,08dunl907,brw6,dunl,abrissette,c3,NA,71.24357,NA,-156.55142,NA,y,bander,in,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162116166,162116166,y,m,"lb,o,lb","gf,y",-,NA,230144066,230144066,y,m,"dg,r,dg",-,"gf,y",NA,2,4,4,11,24-Jun-08,24-Jun-08,176,14,4-Jul-08,4-Jul-08,186,186,10-Jun-08,10-Jun-08,162,13-Jun-08,13-Jun-08,4-Jul-08,4-Jul-08,3,day found,float,hatch,inc,hatch,NA,chicks,n,NA,4,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,hcp<0.5,u2,NA,NA,NA,NA,NA,NA,NA,NA
8.31,2008,barr,dunl911,08dunl911,brw6,dunl,abrissette,i3,NA,71.24099,NA,-156.55144,NA,y,bander,in,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,11,26-Jun-08,26-Jun-08,178,14,26-Jun-08,30-Jun-08,178,182,12-Jun-08,12-Jun-08,164,15-Jun-08,15-Jun-08,6-Jul-08,NA,NA,NA,float,float,inc,failed,predation,eggs gone prior to 4 days from estimated hatch date,n,NA,0,0,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,lcp<0.5,u3,NA,NA,NA,NA,NA,NA,NA,NA
8.32,2008,barr,sesa154,08sesa154,brw6,sesa,phsu,b4,NA,71.24381,NA,-156.55016,NA,y,single,in,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225189052,225189052,y,m,"gf,y",-,"r,lb,r",NA,225189614,225189614,y,-,"gf,y",m,"o,lb,o",NA,2,4,4,13,27-Jun-08,27-Jun-08,179,20,30-Jun-08,30-Jun-08,182,182,11-Jun-08,7-Jun-08,159,14-Jun-08,10-Jun-08,4-Jul-08,30-Jun-08,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,3,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,hcp<0.5,u3,NA,NA,NA,NA,NA,NA,NA,NA
8.33,2008,barr,basa347,08basa347,brw6,basa,ganx,j4,NA,71.24023,NA,-156.5506,NA,y,rope,in,in,225189589,225189589,y,-,"gf,y",m,"o,r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,11,27-Jun-08,27-Jun-08,179,14,7-Jul-08,7-Jul-08,189,189,13-Jun-08,13-Jun-08,165,16-Jun-08,16-Jun-08,7-Jul-08,7-Jul-08,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,4,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,lcp<0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.34,2008,barr,sesa155,08sesa155,brw6,sesa,phsu,h10,71.24098,71.24109,-156.54124,-156.54157,"GPS wrong, changed coords",n,rope,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,4,29-Jun-08,29-Jun-08,181,NA,29-Jun-08,3-Jul-08,181,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,failed,predation,eggs gone,n,NA,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,hcp<0.5,u1,NA,NA,NA,NA,NA,NA,nest found during loss of eggs. Not known to have 4 eggs however I assumed this for the estimate of age ,Unknown initiation date;  Found with 2 eggs.  Likely already depredated prior to discovery
9.01,2008,barr,pesa348,08pesa348,brw6,pesa,ganx,b11,NA,71.24387,NA,-156.54015,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230143478,230143478,y,-,"y,o,dg",m,"gf,y",NA,1,4,4,14,29-Jun-08,29-Jun-08,181,17,7-Jul-08,7-Jul-08,189,189,12-Jun-08,12-Jun-08,164,15-Jun-08,15-Jun-08,7-Jul-08,7-Jul-08,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,4,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,hcp<0.5,u8,NA,NA,NA,NA,NA,NA,NA,NA
9.02,2008,barr,sesa156,08sesa156,brw6,sesa,phsu,d7,NA,71.24285,NA,-156.54641,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225189363,225189363,y,-,"r,y,r",m,"gf,y",NA,225189360,225189360,y,-,"o,lb,dg",m,"gf,y",NA,2,4,4,10,29-Jun-08,29-Jun-08,181,13,10-Jul-08,NA,192,NA,16-Jun-08,16-Jun-08,168,19-Jun-08,19-Jun-08,9-Jul-08,NA,NA,censor,float,float,inc,censor,unknown,1 egg left in nest,y,3,0,0,0,0,0,1,0,3,0,0,0,0,NA,NA,NA,hcp<0.5,u3,NA,NA,NA,NA,NA,NA,NA,No evidence of failure except 3 eggs gone.  But 2-4 days after estimated hatch date and not checked for 3 days.
9.04,2008,barr,wesa021,08wesa021,brw6,wesa,rlanctot,c4,NA,71.24375,NA,-156.55003,NA,y,bander,in,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225189379,225189379,y,-,"gf,y",m,"r,dg,r",NA,225189590,225189590,y,-,"gf,y",m,"o,y,o",NA,2,3,3,3,30-Jun-08,30-Jun-08,182,3,20-Jul-08,20-Jul-08,202,202,25-Jun-08,27-Jun-08,179,27-Jun-08,29-Jun-08,18-Jul-08,20-Jul-08,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,2,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,hcp<0.5,u3,NA,NA,NA,NA,NA,NA,NA,NA
9.05,2008,barr,reph022,08reph022,brw6,reph,rlanctot,f6,NA,71.24192,NA,-156.54736,NA,y,bander,in,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,6,30-Jun-08,30-Jun-08,182,10,13-Jul-08,13-Jul-08,195,195,21-Jun-08,20-Jun-08,172,24-Jun-08,23-Jun-08,14-Jul-08,13-Jul-08,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,hcp<0.5,u3,NA,NA,NA,NA,NA,NA,NA,NA
9.06,2008,barr,reph358,08reph358,brw6,reph,ganx,a6,71.24469,71.24449,-156.54762,-156.54762,Typo,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223135093,223135093,y,-,"o,dg,y",m,"gf,y",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,11,3-Jul-08,3-Jul-08,185,15,11-Jul-08,11-Jul-08,193,193,19-Jun-08,18-Jun-08,170,22-Jun-08,21-Jun-08,12-Jul-08,11-Jul-08,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,4,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,hcp<0.5,u8,NA,NA,NA,NA,NA,NA,assume 4th chick hatched,NA
9.07,2008,barr,sesa359,08sesa359,brw6,NA,ganx,d12,NA,71.24288,NA,-156.53907,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,4-Jul-08,186,NA,6-Jul-08,14-Jul-08,188,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,inc,failed,abandonment,eggs cold ,n,NA,0,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,hcp>0.5,u6,NA,NA,NA,NA,NA,NA,species never confimed due to abandonment,unknown species REMOVE FROM ANALYSIS
9.08,2008,barr,reph166,08reph166,brw6,reph,phsu,c7,NA,71.24354,NA,-156.54623,NA,y,bander,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,6,5-Jul-08,5-Jul-08,187,9,5-Jul-08,9-Jul-08,187,191,26-Jun-08,26-Jun-08,178,29-Jun-08,29-Jun-08,19-Jul-08,NA,NA,NA,float,float,inc,failed,predation,eggs gone prior to 4 days from estimated hatch date,n,NA,0,0,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,lcp<0.5,m2,NA,NA,NA,NA,NA,NA,NA,NA
9.09,2008,barr,rnph167,08rnph167,brw6,rnph,phsu,b6,NA,71.24379,NA,-156.54703,NA,y,single,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225189369,225189369,y,-,"gf,y",m,"o,r,o",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,13,5-Jul-08,5-Jul-08,187,15,13-Jul-08,13-Jul-08,195,195,19-Jun-08,20-Jun-08,172,22-Jun-08,23-Jun-08,12-Jul-08,13-Jul-08,1,day found,float,hatch,inc,hatch,NA,"egg bits, pipped day prior",n,NA,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,lcp<0.5,u8,NA,NA,NA,NA,NA,NA,presumed 4 chicks hatched,NA
9.1,2008,barr,pesa360,08pesa360,brw6,pesa,ganx,b7,NA,71.24382,NA,-156.54721,NA,y,bander,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223135076,223135076,y,-,"y,r,lb",m,"gf,y",NA,1,4,4,15,5-Jul-08,5-Jul-08,187,18,12-Jul-08,12-Jul-08,194,194,17-Jun-08,17-Jun-08,169,20-Jun-08,20-Jun-08,12-Jul-08,12-Jul-08,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,3,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,hcp<0.5,NA,NA,NA,NA,NA,NA,NA,probably cracked 1 egg during banding of female,NA
9.11,2008,barr,pesa168,08pesa168,brw6,pesa,phsu,g12,NA,71.24169,NA,-156.53961,NA,y,bander,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223135077,223135077,y,-,"y,r,y",m,"gf,y",NA,1,4,4,NA,NA,6-Jul-08,188,24,7-Jul-08,7-Jul-08,189,189,12-Jun-08,12-Jun-08,164,15-Jun-08,15-Jun-08,NA,7-Jul-08,1,day found,hatch,hatch,inc,hatch,NA,chicks,n,NA,4,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,hcp>0.5,u1,NA,NA,NA,NA,NA,NA,NA,NA
9.12,2008,barr,pesa363,08pesa363,brw6,pesa,ganx,k11,NA,71.23985,NA,-156.54114,NA,y,bander,in,out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230143471,230143471,y,-,"y,lb,dg",m,"gf,y",NA,1,4,0,NA,NA,14-Jul-08,196,25,14-Jul-08,14-Jul-08,196,196,19-Jun-08,19-Jun-08,171,22-Jun-08,22-Jun-08,NA,14-Jul-08,NA,day found,hatch,hatch,hatch,hatch,NA,chicks,n,NA,4,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,hcp<0.5,u3,NA,NA,NA,NA,NA,NA,NA,Found at hatch
10.01,2008,barr,sesa202,08sesa202,brw8,sesa,dpavlik,l10,NA,71.24511,NA,-156.57361,NA,y,single,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228156129,228156129,y,-,"y,r,y",m,"gf,y",NA,196163193,196163193,n,"r,gf",-,"db,r,dg",m,NA,2,4,2,NA,NA,10-Jun-08,162,1,30-Jun-08,30-Jun-08,182,182,9-Jun-08,9-Jun-08,161,12-Jun-08,12-Jun-08,2-Jul-08,30-Jun-08,1,day found,lay,lay,lay,hatch,NA,chicks,n,NA,4,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,mixed hcp/lcp,u3,NA,NA,NA,NA,NA,NA,NA,NA
10.02,2008,barr,lbdo203,08lbdo203,brw8,lbdo,dpavlik,j4,NA,71.24562,NA,-156.58151,NA,y,single,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,NA,NA,10-Jun-08,162,1,20-Jun-08,24-Jun-08,172,176,9-Jun-08,9-Jun-08,161,12-Jun-08,12-Jun-08,3-Jul-08,NA,NA,NA,lay,lay,lay,failed,predation,eggs gone prior to 4 days from estimated hatch date,n,NA,0,0,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,mixed hcp/lcp,u3,NA,NA,NA,NA,NA,NA,nest lost to predators during trapping,NA
10.03,2008,barr,sesa105,08sesa105,brw8,sesa,phsu,l5,71.245,71.24504,-156.58111,-156.58075,"GPS wrong, changed coords",n,single,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228156122,228156122,y,-,"lb,dg,y",m,"gf,y",NA,225189036,225189036,y,-,"r,o,y",m,"gf,y",NA,2,4,4,4,12-Jun-08,12-Jun-08,164,8,27-Jun-08,27-Jun-08,179,179,5-Jun-08,4-Jun-08,156,8-Jun-08,7-Jun-08,28-Jun-08,27-Jun-08,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,2,2,0,1,0,0,1,0,1,0,0,0,NA,NA,NA,mixed hcp/lcp,u3,NA,NA,05DUNL?,05dunl111,"y?-only 05dunl near, but GPS says 11 meters away",NA,"old nest cup dunlin ??? 2005, 2 hatched, 1 dead in shell, 1 disappeared",NA
10.04,2008,barr,reph106,08reph106,brw8,reph,phsu,d2,NA,71.24874,NA,-156.58434,NA,y,single,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,12-Jun-08,164,NA,12-Jun-08,22-Jun-08,164,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,failed,predation,eggs gone prior to 4 days from estimated hatch date,n,NA,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,lcp<0.5,m2,NA,NA,NA,NA,NA,NA,problems for several visits finding nest.  Did not relocate nest until 10 days after being found,Unknown initiation date; found with 1 egg and never floated. 
